title,type,question,A,B,C,D,answer,image
Immunity,radio,这属于,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,D,immunity_1.png
,radio,这属于,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,B,immunity_2.png
,radio,这属于,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,C,immunity_3.png
,radio,这属于,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,A,immunity_4.png
,radio,breast milk / susu ibu,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,D,
,radio,antiserum is injected / antiserum disuntik,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,B,
,checkbox,The immunity is temporary / Keimunan adalah sementara,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,"B,D",
,radio,recovers from an infection / sembuh daripada serangan penyakit,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,C,
,checkbox,Immunity lasts long / Keimunan berpanjangan,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,"A,C",
,radio,vaccine / vaksin,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,A,
,radio,contains a dead or weakened pathogen / mengandungi patogen yang mati atau lemah,Artificial active immunity / Keimunan aktif buatan,Artificial passive immunity / Keimunan pasif buatan,Natural active immunity / Keimunan aktif semula jadi,Natural passive immunity / Keimunan pasif semula jadi,A,
