title,type,question,A,B,C,D,E,F,G,H,answer,image
特征,radio,最小的行星,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,A,
,radio,最大的行星,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,E,
,radio,和地球差不多大小与年龄,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,B,
,radio,最热的,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,B,
,radio,Greenhouse planet / Planet Rumah Hijau,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,B,
,radio,没有大气层,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,A,
,radio,Red Planet / Planet Merah,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,D,
,radio,Rotates from east to west / Berputar dari timur ke barat,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,B,
,radio,Inhabited by living things / Dihuni makhluk hidup,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,C,
,radio,距离太阳越远，温度越,高,低,,,,,,,B,
,radio,Its axis of rotation is tilted / Paksi putarannya condong ke sisi,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,G,
,checkbox,岩石行星,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,"A,B,C,D",
,checkbox,气体行星,Mercury / Utarid,Venus / Zuhrah,Earth / Bumi,Mars / Marikh,Jupiter / Musytari,Saturn / Zuhal,Uranus / Uranus,Neptune / Neptun,"E,F,G,H",
,checkbox,为何地球适合生物生存？,The presence of water / Kehadiran air,Suitable temperature / Suhu yang sesuai,Contain oxygen / Mempunyai oksigen,Gold in the soil / Emas dalam tanah,Flat shape of Earth / Bentuk Bumi yang rata,Strong magnetic attraction to the Moon / Tarikan magnet yang kuat kepada Bulan,,,"A,B,C",
,checkbox,What happens if the rotation of the Earth slows down or stops completely? / Apakah yang akan berlaku jika putaran Bumi menjadi perlahan atau berhenti berputar?,Longer day and night duration in two different parts of the Earth / Waktu siang dan malam yang panjang di dua bahagian Bumi yang berbeza,More desert areas in parts of the Earth that faces the Sun / Pertambahan kawasan gurun pada bahagian Bumi yang menghadap Matahari,Change in high and low tides / Waktu berlaku pasang surut air berubahSuhu pada bahagian Bumi yang,Temperature will drop in areas of the Earth that do not receive sunlight / Suhu pada bahagian Bumi yang tidak disinari Matahari akan menjadi sangat dingin,Earth will stop revolving around the Sun / Bumi akan berhenti mengelilingi Matahari,Gravity on Earth will disappear / Graviti di Bumi akan hilang,All volcanoes on Earth will erupt / Semua gunung berapi di Bumi akan meletus,Oxygen in the atmosphere will vanish / Oksigen dalam atmosfera akan hilang,"A,B,C,D",
,text,金星拥有什么气体导致它热？,,,,,,,,,"carbon dioxide,karbon dioksida",
