title,type,question,A,B,C,D,E,F,G,H,answer,image
Magnetism,checkbox,Properties of a Magnet / Sifat Magnet,Attracts magnetic materials / Menarik bahan magnet,Has poles (north pole and south pole) / Berkutub (kutub utara dan kutub selatan),"Like poles repel, unlike poles attract / Kutub sama jenis menolak, kutub berlainan jenis menarik",Freely suspended magnet shows north-south direction / Menunjukkan arah utara-selatan apabila digantung secara bebas,Attracts all metals / Menarik semua logam,Has only one pole / Mempunyai satu kutub sahaja,"Like poles attract, unlike poles repel / Kutub sama jenis menarik, kutub berlainan jenis menolak",Always points to east-west direction when suspended / Sentiasa menunjukkan arah timur-barat apabila digantung,"A,B,C,D",
,checkbox,Characteristics of magnetic field line / Ciri-ciri garsan medan magnet,Begin from the north pole and end at the south pole / mengarah dari kutub utara ke kutub selatan magnet,Closer to one another where the magnetic field is stronger / lebih rapat antara satu sama lain di kawasan yang mempunyai medan magnet yang lebih kuat,Never meet or cross / tidak akan bertemu atau bersilang,Begin from the south pole and end at the north pole / Mengarah dari kutub selatan ke kutub utara,Always equally spaced / Sentiasa mempunyai jarak yang sama,Can cross each other at strong fields / Boleh bersilang di kawasan medan kuat,,,"A,B,C",
,radio,什么是 Electromagnet / Elektromagnet ?,type of magnet that has temporary magnetic effect when electric current flows through it / Sejenis magnet yang mempunyai kesan magnet untuk sementara waktu apabila arus elektrik dialirkan melaluinya,A type of magnet that is always magnetic even without electricity / Sejenis magnet yang sentiasa mempunyai kesan magnet walaupun tanpa elektrik,A magnet that stores electricity permanently / Magnet yang menyimpan elektrik secara kekal,A type of magnet that becomes stronger when current is switched off / Sejenis magnet yang menjadi lebih kuat apabila arus dimatikan,,,,,A,
,radio,The direction of the magnetic field is determined by / Arah medan magnet ditentukan oleh,the direction of the electric current / arah arus elektrik,the strength of the electric current / kekuatan arus elektrik,the type of conductor used / jenis konduktor yang digunakan,the number of coils only / bilangan gegelung sahaja,,,,,A,
,text,根据什么法则决定 The direction of the magnetic field / Arah medan magnet,,,,,,,,,"right-hand grip rule,petua ganggaman tangan kanan",
,text,用什么来观察 The direction of the magnetic line / Arah garisan medan magnet,,,,,,,,,"compass,kompas",
,radio,如果电流 Current / Arus 向上，那么磁场就是,clockwise / ikut arah jam,anticlockwise / lawan arah jam,,,,,,,B,
,radio,如果电流 Current / Arus 向下，那么磁场就是,clockwise / ikut arah jam,anticlockwise / lawan arah jam,,,,,,,A,
,checkbox,如何增强 Electromagnet / Elektromagnet 的磁力？,Increase the number of turns of the coil / Meningkatkan bilangan lilitan gegelung,Increase the current / Meningkatkan arus,Decrease the number of turns of the coil / Mengurangkan bilangan lilitan gegelung,Decrease the current / Mengurangkan arus,,,,,"A,B",
,checkbox,哪些是 Electromagnet / Elektromagnet 的应用？,Credit cards and debit cards have an electromagnetic strip that stores information / Kad kredit dan kad debit mempunyai jalur elektromagnet yang menyimpan maklumat,Scrap yard cranes use electromagnets to lift metal / Kren di tempat besi buruk menggunakan elektromagnet untuk mengangkat logam,Magnets in refrigerator doors / Magnet pada pintu peti sejuk,MRI scanner machine / Mesin pengimbas MRI,,,,,"A,B",
